game_id,round,is_enemy,my_seals,opp_seals,hand_champions,hand_total_power,slot_index,card_power,card_is_champion,card_has_haste,opp_slot_power,win_outcome
0,1,0,0,0,2,33,0,2,0,0,0,1
0,1,0,0,0,2,33,1,2,0,0,0,1
0,1,0,0,0,2,33,2,2,0,0,0,1
0,1,0,0,0,2,33,3,2,0,0,0,1
0,1,0,0,0,2,33,4,2,0,0,0,1
0,1,0,0,0,2,33,5,2,0,0,0,1
0,1,0,0,0,2,33,6,2,0,0,0,1
0,1,0,0,0,2,33,0,2,0,0,0,1
0,1,0,0,0,2,33,1,2,0,0,0,1
0,1,0,0,0,2,33,2,2,0,0,0,1
0,1,0,0,0,2,33,3,2,0,0,0,1
0,1,0,0,0,2,33,4,2,0,0,0,1
0,1,0,0,0,2,33,5,2,0,0,0,1
0,1,0,0,0,2,33,6,2,0,0,0,1
0,1,0,0,0,2,33,0,7,1,0,0,1
0,1,0,0,0,2,33,1,7,1,0,0,1
0,1,0,0,0,2,33,2,7,1,0,0,1
0,1,0,0,0,2,33,3,7,1,0,0,1
0,1,0,0,0,2,33,4,7,1,0,0,1
0,1,0,0,0,2,33,5,7,1,0,0,1
0,1,0,0,0,2,33,6,7,1,0,0,1
0,1,0,0,0,2,33,0,3,0,0,0,1
0,1,0,0,0,2,33,1,3,0,0,0,1
0,1,0,0,0,2,33,2,3,0,0,0,1
0,1,0,0,0,2,33,3,3,0,0,0,1
0,1,0,0,0,2,33,4,3,0,0,0,1
0,1,0,0,0,2,33,5,3,0,0,0,1
0,1,0,0,0,2,33,6,3,0,0,0,1
0,1,0,0,0,2,33,0,4,0,0,0,1
0,1,0,0,0,2,33,1,4,0,0,0,1
0,1,0,0,0,2,33,2,4,0,0,0,1
0,1,0,0,0,2,33,3,4,0,0,0,1
0,1,0,0,0,2,33,4,4,0,0,0,1
0,1,0,0,0,2,33,5,4,0,0,0,1
0,1,0,0,0,2,33,6,4,0,0,0,1
0,1,0,0,0,2,33,0,5,0,0,0,1
0,1,0,0,0,2,33,1,5,0,0,0,1
0,1,0,0,0,2,33,2,5,0,0,0,1
0,1,0,0,0,2,33,3,5,0,0,0,1
0,1,0,0,0,2,33,4,5,0,0,0,1
0,1,0,0,0,2,33,5,5,0,0,0,1
0,1,0,0,0,2,33,6,5,0,0,0,1
0,1,0,0,0,2,33,0,1,0,0,0,1
0,1,0,0,0,2,33,1,1,0,0,0,1
0,1,0,0,0,2,33,2,1,0,0,0,1
0,1,0,0,0,2,33,3,1,0,0,0,1
0,1,0,0,0,2,33,4,1,0,0,0,1
0,1,0,0,0,2,33,5,1,0,0,0,1
0,1,0,0,0,2,33,6,1,0,0,0,1
0,1,0,0,0,2,33,0,9,1,0,0,1
0,1,0,0,0,2,33,1,9,1,0,0,1
0,1,0,0,0,2,33,2,9,1,0,0,1
0,1,0,0,0,2,33,3,9,1,0,0,1
0,1,0,0,0,2,33,4,9,1,0,0,1
0,1,0,0,0,2,33,5,9,1,0,0,1
0,1,0,0,0,2,33,6,9,1,0,0,1
1,1,0,0,0,2,35,0,9,1,0,0,1
1,1,0,0,0,2,35,1,9,1,0,0,1
1,1,0,0,0,2,35,2,9,1,0,0,1
1,1,0,0,0,2,35,3,9,1,0,0,1
1,1,0,0,0,2,35,4,9,1,0,0,1
1,1,0,0,0,2,35,5,9,1,0,0,1
1,1,0,0,0,2,35,6,9,1,0,0,1
1,1,0,0,0,2,35,0,1,0,0,0,1
1,1,0,0,0,2,35,1,1,0,0,0,1
1,1,0,0,0,2,35,2,1,0,0,0,1
1,1,0,0,0,2,35,3,1,0,0,0,1
1,1,0,0,0,2,35,4,1,0,0,0,1
1,1,0,0,0,2,35,5,1,0,0,0,1
1,1,0,0,0,2,35,6,1,0,0,0,1
1,1,0,0,0,2,35,0,4,0,0,0,1
1,1,0,0,0,2,35,1,4,0,0,0,1
1,1,0,0,0,2,35,2,4,0,0,0,1
1,1,0,0,0,2,35,3,4,0,0,0,1
1,1,0,0,0,2,35,4,4,0,0,0,1
1,1,0,0,0,2,35,5,4,0,0,0,1
1,1,0,0,0,2,35,6,4,0,0,0,1
1,1,0,0,0,2,35,0,2,0,1,0,1
1,1,0,0,0,2,35,1,2,0,1,0,1
1,1,0,0,0,2,35,2,2,0,1,0,1
1,1,0,0,0,2,35,3,2,0,1,0,1
1,1,0,0,0,2,35,4,2,0,1,0,1
1,1,0,0,0,2,35,5,2,0,1,0,1
1,1,0,0,0,2,35,6,2,0,1,0,1
1,1,0,0,0,2,35,0,3,0,0,0,1
1,1,0,0,0,2,35,1,3,0,0,0,1
1,1,0,0,0,2,35,2,3,0,0,0,1
1,1,0,0,0,2,35,3,3,0,0,0,1
1,1,0,0,0,2,35,4,3,0,0,0,1
1,1,0,0,0,2,35,5,3,0,0,0,1
1,1,0,0,0,2,35,6,3,0,0,0,1
1,1,0,0,0,2,35,0,4,0,0,0,1
1,1,0,0,0,2,35,1,4,0,0,0,1
1,1,0,0,0,2,35,2,4,0,0,0,1
1,1,0,0,0,2,35,3,4,0,0,0,1
1,1,0,0,0,2,35,4,4,0,0,0,1
1,1,0,0,0,2,35,5,4,0,0,0,1
1,1,0,0,0,2,35,6,4,0,0,0,1
1,1,0,0,0,2,35,0,9,1,0,0,1
