game_id,round,is_enemy,my_seals,opp_seals,hand_champions,hand_total_power,slot_index,card_id,card_power,card_is_champion,card_has_haste,card_has_activate,opp_slot_power,reward
0,1,0,0,0,2,44,0,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,1,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,2,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,3,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,4,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,5,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,6,40,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,0,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,1,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,2,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,3,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,4,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,5,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,6,38,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,0,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,1,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,2,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,3,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,4,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,5,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,6,22,15,1,0,1,0,-0.8100
0,1,0,0,0,2,44,0,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,1,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,2,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,3,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,4,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,5,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,6,37,4,0,0,0,0,-0.8100
0,1,0,0,0,2,44,0,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,1,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,2,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,3,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,4,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,5,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,6,23,9,1,0,0,0,-0.8100
0,1,0,0,0,2,44,0,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,1,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,2,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,3,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,4,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,5,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,6,34,6,0,0,0,0,-0.8100
0,1,0,0,0,2,44,0,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,1,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,2,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,3,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,4,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,5,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,6,41,2,0,1,0,0,-0.8100
0,1,0,0,0,2,44,0,35,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,1,35,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,2,35,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,3,35,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,4,35,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,5,35,1,0,0,0,0,-0.8100
0,1,0,0,0,2,44,6,35,1,0,0,0,0,-0.8100
1,1,0,0,0,2,33,0,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,1,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,2,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,3,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,4,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,5,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,6,10,2,0,0,0,0,-0.8100
1,1,0,0,0,2,33,0,6,9,1,0,1,0,-0.8100
1,1,0,0,0,2,33,1,6,9,1,0,1,0,-0.8100
1,1,0,0,0,2,33,2,6,9,1,0,1,0,-0.8100
